American International University of Management and Technology,https://en.wikipedia.org/w/index.php?title=American_International_University_of_Management_and_Technology&action=edit&redlink=1,153,Man,"Wikipedia description: <i>American International University of Management and Technology, Hawaii</i>"
American Liberty University,https://en.wikipedia.org/wiki/American_Liberty_University,252,United Arab Emirates,"Wikipedia description: <i>American Liberty University, U.S. states of Alabama and California, also England, Greece, South Korea, China, Taiwan, Malaysia, and United Arab Emirates</i>"
American National University,,,,"Wikipedia description: <i>American National University, not to be confused with the accredited American National University, formerly known as National Business College.</i>"
American Pacific University,https://en.wikipedia.org/w/index.php?title=American_Pacific_University&action=edit&redlink=1,260,Vietnam,"Wikipedia description: <i>American Pacific University, Vietnam and other Asian locations; has falsely claimed affiliation with Central Washington University</i>"
American Pacwest International University,https://en.wikipedia.org/wiki/Pacific_Western_University_(Hawaii),,,Wikipedia description: <i>American Pacwest International University</i>
American Scandinavian University,https://en.wikipedia.org/w/index.php?title=American_Scandinavian_University&action=edit&redlink=1,233,Sweden,"Wikipedia description: <i>American Scandinavian University, Sweden and U.S. states of Texas and Arizona</i>"
American School of Metaphysics,https://en.wikipedia.org/w/index.php?title=American_School_of_Metaphysics&action=edit&redlink=1,,,"Wikipedia description: <i>American School of Metaphysics, New York</i>"
American State University,https://en.wikipedia.org/wiki/American_State_University,,,"Wikipedia description: <i>American State University (aka Hamilton University and Richardson University), Hawaii, Wyoming, and Caribbean</i>"
American University for HumanitiesGeorgia,https://en.wikipedia.org/w/index.php?title=American_University_for_Humanities&action=edit&redlink=1,113,India,"Wikipedia description: <i>American University for Humanities, formerly American University of Hawaii; U.S. state of Mississippi and nations of India, Lebanon, and Georgia</i>"
American University in London,https://en.wikipedia.org/wiki/American_University_in_London,,,Wikipedia description: <i>American University in London</i>
American University of London,https://en.wikipedia.org/wiki/American_University_of_London,,,Wikipedia description: <i>American University of London</i>
American University of HawaiiUniversity of Hawaii,https://en.wikipedia.org/w/index.php?title=American_University_of_Hawaii&action=edit&redlink=1,113,India,"Wikipedia description: <i>American University of Hawaii Gulfport, Mississippi; Clinton, Mississippi; (also reported to be operating in India; not to be confused with the University of Hawaii)</i>"
American University of Human Services,https://en.wikipedia.org/w/index.php?title=American_University_of_Human_Services&action=edit&redlink=1,,,"Wikipedia description: <i>American University of Human Services, Mississippi. Reported closed as of 2007.</i>"
American University of Mayonic Science and Technology,https://en.wikipedia.org/w/index.php?title=American_University_of_Mayonic_Science_and_Technology&action=edit&redlink=1,,,Wikipedia description: <i>American University of Mayonic Science and Technology</i>
American World University,https://en.wikipedia.org/wiki/American_World_University,269,World,Wikipedia description: <i>American World University</i>
Americus University,https://en.wikipedia.org/w/index.php?title=Americus_University&action=edit&redlink=1,,,"Wikipedia description: <i>Americus University, Washington, DC</i>"
Ames Christian University,https://en.wikipedia.org/w/index.php?title=Ames_Christian_University&action=edit&redlink=1,,,"Wikipedia description: <i>Ames Christian University, Florida</i>"
Amstead University,https://en.wikipedia.org/w/index.php?title=Amstead_University&action=edit&redlink=1,254,United States,"Wikipedia description: <i>Amstead University, United States</i>"
Anacrusis Institute,https://en.wikipedia.org/w/index.php?title=Anacrusis_Institute&action=edit&redlink=1,253,United Kingdom,"Wikipedia description: <i>Anacrusis Institute, Greece and United Kingdom</i>"
Andersen UniversityAnderson University,https://en.wikipedia.org/w/index.php?title=Andersen_University&action=edit&redlink=1,,,"Wikipedia description: <i>Andersen University, California  (not to be confused with institutions named Anderson University)</i>"
Andersonville Theological Seminary,https://en.wikipedia.org/wiki/Andersonville_Theological_Seminary,254,United States,"Wikipedia description: <i>Andersonville Theological Seminary (formerly Andersonville Baptist Seminary), Camilla, Georgia ATS website states that it is accredited by Transworld Accrediting Commission, ""on the list of Association of Christian Schools International (ACSI) Recognized College Programs"", and by the National Accrediting Agency of Private Theological Institutions. None of these organizations are listed as a recognized accreditation agencies in the United States.</i>"
Anglo-American University,https://en.wikipedia.org/wiki/Anglo-American_University,,,"Wikipedia description: <i>Anglo-American University, Hawaii</i>"
Apostolic Prophetic Bible College & Theological Seminary,https://en.wikipedia.org/w/index.php?title=Apostolic_Prophetic_Bible_College_%26_Theological_Seminary&action=edit&redlink=1,,,"Wikipedia description: <i>Apostolic Prophetic Bible College & Theological Seminary, Rochester Hills, Michigan</i>"
Apostolic Theological Bible College,https://en.wikipedia.org/w/index.php?title=Apostolic_Theological_Bible_College&action=edit&redlink=1,,,"Wikipedia description: <i>Apostolic Theological Bible College, Tampa, Florida</i>"
Arabic Open University,https://en.wikipedia.org/w/index.php?title=Arabic_Open_University&action=edit&redlink=1,65,Denmark,"Wikipedia description: <i>Arabic Open University, Denmark</i>"
Ashford UniversityAshford UniversityIowa,https://en.wikipedia.org/w/index.php?title=Ashford_University_(Great_Britain)&action=edit&redlink=1,253,United Kingdom,"Wikipedia description: <i>Ashford University, United Kingdom; not to be confused with the accredited Ashford University in Iowa</i>"
Ashington University,https://en.wikipedia.org/w/index.php?title=Ashington_University&action=edit&redlink=1,261,Virgin Islands,"Wikipedia description: <i>Ashington University, British Virgin Islands, Louisiana</i>"
Ashwood University,https://en.wikipedia.org/wiki/Ashwood_University,187,Pakistan,"Wikipedia description: <i>Ashwood University, Florida, Pakistan, and possibly Texas; may operate Universidad de las Palmas""</i>"
Aston UniversityAston University,https://en.wikipedia.org/w/index.php?title=Aston_University_(Nigeria)&action=edit&redlink=1,181,Nigeria,"Wikipedia description: <i>Aston University, Nigeria (relationship with Aston University in the UK is not clear)</i>"
Ateneo di Studi Superiori pro Pace,https://en.wikipedia.org/w/index.php?title=Ateneo_di_Studi_Superiori_pro_Pace&action=edit&redlink=1,119,Italy,"Wikipedia description: <i>Ateneo di Studi Superiori pro Pace, Italy, Belgium. Operated 1978–1988</i>"
Atlanta UniversityUniversity of AtlantaClark Atlanta UniversityAtlanta University Center,https://en.wikipedia.org/w/index.php?title=Atlanta_University_(Nigeria)&action=edit&redlink=1,181,Nigeria,"Wikipedia description: <i>Atlanta University, Nigeria (not be confused with University of Atlanta, Clark Atlanta University or the Atlanta University Center)</i>"
"Atlantic International University, located in Hawaii (not to be confused with Atlantic University, Virginia).",,,,
Atlantic Pacific University,https://en.wikipedia.org/w/index.php?title=Atlantic_Pacific_University&action=edit&redlink=1,49,China,"Wikipedia description: <i>Atlantic Pacific University, Chengdu, China</i>"
Auberdeen University,https://en.wikipedia.org/w/index.php?title=Auberdeen_University&action=edit&redlink=1,,,"Wikipedia description: <i>Auberdeen University, Idaho</i>"
Badaganvi Sarkar World Open University Education Society,https://en.wikipedia.org/w/index.php?title=Badaganvi_Sarkar_World_Open_University_Education_Society&action=edit&redlink=1,113,India,"Wikipedia description: <i>Badaganvi Sarkar World Open University Education Society, Gokak, Belgaum, Karnataka, India</i>"
Barber-Scotia College,https://en.wikipedia.org/wiki/Barber-Scotia_College,,,Wikipedia description: <i>Barber-Scotia College (lost accreditation in 2004)</i>
Barrington University,https://en.wikipedia.org/wiki/Barrington_University,,,"Wikipedia description: <i>Barrington University, Mobile, Alabama (formerly operated by Virtual Academics. Com of Boca Raton, Florida)</i>"
Bay Ridge Christian College,https://en.wikipedia.org/wiki/Bay_Ridge_Christian_College,,,"Wikipedia description: <i>Bay Ridge Christian College (aka Bay Ridge College) in Texas. (The school states ""we are non-accredited"")</i>"
Belford UniversityUniversity of BedfordUniversity Degree Program,https://en.wikipedia.org/wiki/Belford_University,,,"Wikipedia description: <i>Belford University (operated from a PO Box in Humble, Texas; not to be confused with the University of Bedford which is linked to University Degree Program)</i>"
Beloved Community Seminary,https://en.wikipedia.org/w/index.php?title=Beloved_Community_Seminary&action=edit&redlink=1,,,"Wikipedia description: <i>Beloved Community Seminary, Oregon, Hawaii</i>"
Bennington UniversityBennington College,https://en.wikipedia.org/w/index.php?title=Bennington_University&action=edit&redlink=1,,,Wikipedia description: <i>Bennington University (not to be confused with Bennington College)</i>
Berean Bible CollegeAccrediting Commission International,https://en.wikipedia.org/wiki/Berean_Bible_College,,,"Wikipedia description: <i>Berean Bible College in Poway, California (Claims approval from Accrediting Commission International, which is not recognized as an accreditor.)</i>"
Berne UniversityUniversity of Bern,https://en.wikipedia.org/w/index.php?title=Berne_University_(United_States)&action=edit&redlink=1,,,"Wikipedia description: <i>Berne University, Pennsylvania, Virginia, St. Kitts (not to be confused with University of Bern)</i>"
Bernelli University,https://en.wikipedia.org/w/index.php?title=Bernelli_University&action=edit&redlink=1,254,United States,"Wikipedia description: <i>Bernelli University, Virginia (United States), Italy; new name for Berne University</i>"
"",,,,"Wikipedia description: <i>Bethlehem Christian University, Culpeper, Virginia, a member of Life Christian University</i>"
Bettis Christian University,https://en.wikipedia.org/w/index.php?title=Bettis_Christian_University&action=edit&redlink=1,,,"Wikipedia description: <i>Bettis Christian University, Arkansas</i>"
The Bible Doctrine Institute,https://en.wikipedia.org/w/index.php?title=The_Bible_Doctrine_Institute&action=edit&redlink=1,,,"Wikipedia description: <i>The Bible Doctrine Institute, Jacksonville, Florida; founded in 1986 as The Blue Ridge Bible Institute</i>"
Bienville University,https://en.wikipedia.org/wiki/Bienville_University,,,"Wikipedia description: <i>Bienville University Woodville, Mississippi. Reported closed as of 2007.</i>"
Bircham International University,https://en.wikipedia.org/wiki/Bircham_International_University,,,Wikipedia description: <i>Bircham International University (formerly Oxford International University)</i>
Blackpool University,https://en.wikipedia.org/wiki/Blackpool_University,,,Wikipedia description: <i>Blackpool University</i>
Blacksmith University,https://en.wikipedia.org/w/index.php?title=Blacksmith_University&action=edit&redlink=1,181,Nigeria,"Wikipedia description: <i>Blacksmith University, Nigeria</i>"
Brainwells University,https://en.wikipedia.org/w/index.php?title=Brainwells_University&action=edit&redlink=1,254,United States,"Wikipedia description: <i>Brainwells University, United States and Canada, but might be based elsewhere</i>"
Brazilian Law International College,https://en.wikipedia.org/w/index.php?title=Brazilian_Law_International_College&action=edit&redlink=1,33,Brazil,Wikipedia description: <i>Brazilian Law International College (Blic)</i>
Brethren Bible Institute,https://en.wikipedia.org/w/index.php?title=Brethren_Bible_Institute&action=edit&redlink=1,113,India,"Wikipedia description: <i>Brethren Bible Institute, Pathanamthitta, India</i>"
Breyer State University,https://en.wikipedia.org/wiki/Breyer_State_University,,,Wikipedia description: <i>Breyer State University</i>
Bridgewater Universityinstantdegrees.comBridgewater CollegeBridgewater State University,https://en.wikipedia.org/w/index.php?title=Bridgewater_University&action=edit&redlink=1,,,Wikipedia description: <i>Bridgewater University (associated with instantdegrees.com; not to be confused with Bridgewater College or Bridgewater State University)</i>
Bridgewood University,https://en.wikipedia.org/w/index.php?title=Bridgewood_University&action=edit&redlink=1,,,Wikipedia description: <i>Bridgewood University</i>
Britain College of Management and Science,https://en.wikipedia.org/w/index.php?title=Britain_College_of_Management_and_Science&action=edit&redlink=1,153,Man,Wikipedia description: <i>Britain College of Management and Science</i>
British West Indies Medical CollegeWest Indies College of Naturopathic Medicine and Surgery,https://en.wikipedia.org/w/index.php?title=British_West_Indies_Medical_College&action=edit&redlink=1,,,Wikipedia description: <i>British West Indies Medical College (earlier known as West Indies College of Naturopathic Medicine and Surgery)</i>
Brixton University,https://en.wikipedia.org/w/index.php?title=Brixton_University&action=edit&redlink=1,,,"Wikipedia description: <i>Brixton University, British Columbia</i>"
Brookside University,https://en.wikipedia.org/w/index.php?title=Brookside_University&action=edit&redlink=1,21,Barbados,"Wikipedia description: <i>Brookside University, Barbados</i>"
Bronte International University,https://en.wikipedia.org/wiki/Bronte_International_University,,,Wikipedia description: <i>Bronte International University</i>
Burnell College,https://en.wikipedia.org/w/index.php?title=Burnell_College&action=edit&redlink=1,253,United Kingdom,"Wikipedia description: <i>Burnell College, United Kingdom</i>"
Burnett International University,https://en.wikipedia.org/w/index.php?title=Burnett_International_University&action=edit&redlink=1,105,Haiti,"Wikipedia description: <i>Burnett International University, Haiti, St. Kitts</i>"
Buxton UniversityUniversity of DerbyBuxton,https://en.wikipedia.org/wiki/Buxton_University,,,Wikipedia description: <i>Buxton University (not to be confused with the University of Derby's Buxton campus) (Connected with instantdegrees.com)</i>
Calamus International UniversityVanuatuTurks and Caicos,https://en.wikipedia.org/w/index.php?title=Calamus_International_University&action=edit&redlink=1,258,Vanuatu,"Wikipedia description: <i>Calamus International University (including Calamus Extension College and Vocalist International Distance Learning Academy), Vanuatu (formerly based in Turks and Caicos)</i>"
California Graduate School of Theology,https://en.wikipedia.org/wiki/California_Graduate_School_of_Theology,,,Wikipedia description: <i>California Graduate School of Theology</i>
California University of Business and Technology,https://en.wikipedia.org/wiki/California_University_of_Business_and_Technology,,,"Wikipedia description: <i>California University of Business and Technology no claim of accreditation, only state approval.</i>"
California Pacific School of TheologyAssociation of Christian Colleges and Theological Schools,https://en.wikipedia.org/wiki/California_Pacific_School_of_Theology,254,United States,"Wikipedia description: <i>California Pacific School of Theology, Glendale, California. (Claims ""accreditation"" from the Association of Christian Colleges and Theological Schools. but it is not a recognized higher education accreditor in the United States.</i>"
Calvary Baptist Bible College,https://en.wikipedia.org/w/index.php?title=Calvary_Baptist_Bible_College&action=edit&redlink=1,,,"Wikipedia description: <i>Calvary Baptist Bible College, King, North Carolina</i>"
Calvary Chapel Bible College,https://en.wikipedia.org/wiki/Calvary_Chapel_Bible_College,,,"Wikipedia description: <i>Calvary Chapel Bible College, Murrieta, California (This institution's website states: ""We are not accredited, nor are we seeking accreditation, so as to be free from outside control and remain open to the leading of the Holy Spirit."")</i>"
Cal Southern UniversityNiueUniversity of Southern CaliforniaCalifornia Southern UniversityCalifornia Southern Law School,https://en.wikipedia.org/w/index.php?title=Cal_Southern_University&action=edit&redlink=1,182,Niue,"Wikipedia description: <i>Cal Southern University, Houston, Texas, and registered in the South Pacific island of Niue (Not to be confused with the University of Southern California in Los Angeles, California, California Southern University in Irvine, California, or California Southern Law School in Riverside, California.)</i>"
California Takshila University,https://en.wikipedia.org/w/index.php?title=California_Takshila_University&action=edit&redlink=1,,,"Wikipedia description: <i>California Takshila University, San Jose, California</i>"
Calvary University,https://en.wikipedia.org/w/index.php?title=Calvary_University&action=edit&redlink=1,175,Netherlands,"Wikipedia description: <i>Calvary University in Virginia (USA); also reported in Oregon, UK, Netherlands, and other countries</i>"
Cambridge Graduate University,https://en.wikipedia.org/w/index.php?title=Cambridge_Graduate_University&action=edit&redlink=1,,,Wikipedia description: <i>Cambridge Graduate University</i>
Cambridge International University,https://en.wikipedia.org/w/index.php?title=Cambridge_International_University&action=edit&redlink=1,224,South Africa,"Wikipedia description: <i>Cambridge International University, Cape Town, South Africa, Arizona USA)</i>"
Cambridge State University,https://en.wikipedia.org/wiki/Cambridge_State_University,,,"Wikipedia description: <i>Cambridge State University, Jackson, Mississippi (""district officials discovered the school has an extensive criminal history and is nothing more than a diploma mill."")</i>"
Canadian School of Management,https://en.wikipedia.org/wiki/Canadian_School_of_Management,153,Man,Wikipedia description: <i>Canadian School of Management</i>
Canbourne UniversityCamborne School of Mines,https://en.wikipedia.org/w/index.php?title=Canbourne_University&action=edit&redlink=1,,,Wikipedia description: <i>Canbourne University (not to be confused with Camborne School of Mines)</i>
Canby Bible College,https://en.wikipedia.org/w/index.php?title=Canby_Bible_College&action=edit&redlink=1,,,"Wikipedia description: <i>Canby Bible College, Canby, Oregon, formerly Leadership Training Institute (Oregon’s Office of Degree Authorization lists this institution as “unaccredited religious exempt school”)</i>"
Canterbury University (Seychelles),https://en.wikipedia.org/wiki/Canterbury_University_(Seychelles),217,Seychelles,Wikipedia description: <i>Canterbury University (Seychelles)</i>
Canyon College,https://en.wikipedia.org/w/index.php?title=Canyon_College&action=edit&redlink=1,,,Wikipedia description: <i>Canyon College</i>
Capital City Religious Institute,https://en.wikipedia.org/w/index.php?title=Capital_City_Religious_Institute&action=edit&redlink=1,,,"Wikipedia description: <i>Capital City Religious Institute, Baton Rouge, Louisiana</i>"
"",,,,Wikipedia description: <i>Capitol University</i>
Carlingford UniversityUniversity Degree Program,https://en.wikipedia.org/w/index.php?title=Carlingford_University&action=edit&redlink=1,,,"Wikipedia description: <i>Carlingford University, scam run by a prison inmate in Wisconsin; shut down in 2010. The name previously was identified with an address in London, and with the University Degree Program.</i>"
Carolina International University,https://en.wikipedia.org/w/index.php?title=Carolina_International_University&action=edit&redlink=1,,,"Wikipedia description: <i>Carolina International University, North Charleston, South Carolina</i>"
Carolina University of TheologyAccrediting Commission International,https://en.wikipedia.org/wiki/Carolina_University_of_Theology,153,Man,"Wikipedia description: <i>Carolina University of Theology, Manassas, Virginia (Website states that school is accredited by Accrediting Commission International but notes “This accreditation is not recognized by the US Dept. of Education. It is our intention in the months ahead to pursue a full accredited status with an agency recognized by the US Dept. of Education.”)</i>"
"",,119,Italy,"Wikipedia description: <i>Centro di Tecnologia Universitaria Straniera – CE.T.U.S, Italy</i>"
Chadwick University,https://en.wikipedia.org/wiki/Chadwick_University,47,Chad,"Wikipedia description: <i>Chadwick University, Alabama</i>"
Charis Bible College,https://en.wikipedia.org/wiki/Charis_Bible_College,,,"Wikipedia description: <i>Charis Bible College, Colorado Springs, Colorado</i>"
Charis School of Divinity,https://en.wikipedia.org/w/index.php?title=Charis_School_of_Divinity&action=edit&redlink=1,,,"Wikipedia description: <i>Charis School of Divinity, Florida</i>"
Chase University,https://en.wikipedia.org/w/index.php?title=Chase_University&action=edit&redlink=1,,,Wikipedia description: <i>Chase University</i>
Chesapeake Baptist CollegeAccrediting Commission International,https://en.wikipedia.org/wiki/Chesapeake_Baptist_College,,,"Wikipedia description: <i>Chesapeake Baptist College in Severn, Maryland (Claims approval from Accrediting Commission International, which is not recognized as an accreditor.)</i>"
Christ Alive Christian Seminary and University,https://en.wikipedia.org/w/index.php?title=Christ_Alive_Christian_Seminary_and_University&action=edit&redlink=1,181,Nigeria,"Wikipedia description: <i>Christ Alive Christian Seminary and University, Nigeria</i>"
Christ For The Nations Institute,https://en.wikipedia.org/wiki/Christ_For_The_Nations_Institute,,,Wikipedia description: <i>Christ For The Nations Institute</i>
Christian Leadership University,https://en.wikipedia.org/w/index.php?title=Christian_Leadership_University&action=edit&redlink=1,,,"Wikipedia description: <i>Christian Leadership University, New York</i>"
Christian Bible College,https://en.wikipedia.org/wiki/Christian_Bible_College,,,"Wikipedia description: <i>Christian Bible College, Rocky Mount, North Carolina</i>"
Christians of Charity American University of Sci. and Tech.,https://en.wikipedia.org/w/index.php?title=Christians_of_Charity_American_University_of_Sci._and_Tech.&action=edit&redlink=1,181,Nigeria,"Wikipedia description: <i>Christians of Charity American University of Sci. and Tech., Nigeria</i>"
Clarksville School of Theology,https://en.wikipedia.org/wiki/Clarksville_School_of_Theology,,,"Wikipedia description: <i>Clarksville School of Theology, Clarksville, Tennessee; shut down in 1982</i>"
Clayton College of Natural Health,https://en.wikipedia.org/wiki/Clayton_College_of_Natural_Health,47,Chad,Wikipedia description: <i>Clayton College of Natural Health (same operator as Chadwick University) (in Alabama)</i>
Clayton Theological Institute,https://en.wikipedia.org/w/index.php?title=Clayton_Theological_Institute&action=edit&redlink=1,,,"Wikipedia description: <i>Clayton Theological Institute, California</i>"
"",,,,Wikipedia description: <i>ClosedCollegeDiploma.com</i>
Clayton University,https://en.wikipedia.org/w/index.php?title=Clayton_University&action=edit&redlink=1,113,India,"Wikipedia description: <i>Clayton University, Hong Kong, China, San Marino, Nigeria, India</i>"
Colonial Academy,https://en.wikipedia.org/w/index.php?title=Colonial_Academy&action=edit&redlink=1,,,Wikipedia description: <i>Colonial Academy (Chicago)</i>
Colton University,https://en.wikipedia.org/w/index.php?title=Colton_University&action=edit&redlink=1,,,Wikipedia description: <i>Colton University</i>
Columbia Pacific University,https://en.wikipedia.org/wiki/Columbia_Pacific_University,,,Wikipedia description: <i>Columbia Pacific University</i>
Columbia State University,https://en.wikipedia.org/wiki/Columbia_State_University,,,Wikipedia description: <i>Columbia State University</i>
Columbus University,https://en.wikipedia.org/wiki/Columbus_University_(Louisiana),,,"Wikipedia description: <i>Columbus University, Picayune, Mississippi (Closed by state action in Louisiana)</i>"
Collumbus University,https://en.wikipedia.org/w/index.php?title=Collumbus_University&action=edit&redlink=1,181,Nigeria,"Wikipedia description: <i>Collumbus University, UK or Nigeria</i>"
Commonwealth Open UniversityCommonwealth Institute,https://en.wikipedia.org/w/index.php?title=Commonwealth_Open_University&action=edit&redlink=1,261,Virgin Islands,Wikipedia description: <i>Commonwealth Open University (Virgin Islands; not to be confused with Commonwealth Institute)</i>
