Berkeley International University |California (AKA BIU Southern California)
Bernadean University|California
Berne University|Pennsylvania, St. Kitts, Virginia et al
Bernelli University|Virginia
Bettis Christian University|Arkansas
Beulah College|Texas, Nigeria
Bienville University|Mississippi, Louisiana
Bircham International University|England, Spain, etc (AKA Oxford Inter)
BlackMarketExpress.8rf.com|Ether Space (Counterfeiter: $ for credential)
Blackstone University|Ether space
BogusPhD.com|Ether Space (Counterfeiter: $ for credential)
Bonavista University|Wyoming
Bosdon Academy of Music|Ether space
Boston City College|Ether space (Sound alike for Boston Col)
BoxFreeConcepts.com|Ether Space (Counterfeiter: $ for credential)
Bradford University|Ether space, legitimate = Bradford College
Brainwells University|Canada
Brantridge Forest School|Ether space
Brantridge University|Hawaii
Brentwick University|Ether space
Brethren Bible College|India
Bretton Woods University|New Jersey, New Hampshire
Breyer State University|Alabama, Idaho, Liberia
Bridgewater University|England, Seychelles
Bright Way Technical University|Ether space
Britain College of Mgmt & Science|England
British American Business Institute|Ether space
British College of Soma-Therapy|England
British Collegiate Institute|England
British West Indies Med College|Ether Space (AKA West Indies of Naturo)
Brixton University|British Columbia (legal/can not award)
Broadhurst University|Ether space
Broadway Institute of Technology|Ether space
Bronte International University|Caribbean, Louisiana (AKA Trinity Col)
Brownell University|Ether space
Buckner University|Texas
Buktronix University|Ether space
Burnell College|England
Burnett International University|Haiti, St. Kitts
Business and Computer University College|Lebanon
Buxton University|England
Bogusphd.com|Ether Space (“Novelty Diplomas”)
BuyADegree.com|Ether Space (AKA Rochville University)
Buy-A-Degree.com|Ether Space (AKA Belford University)
Buy-A-High-School-Diploma.com|Ether Space (AKA Rochville University/HS)
BuyDegree.org|Ether Space
BuyDiplomaOnLine.com|China? (Counterfeiter: Cash for credential)
C & E American University Institute|Lebanon
Cal Southern University|Texas, Niue
Calamus International University|British West Indies
Calgary Providence University|Ether space
California Christian College|Ether space
California Institute of Behavior Sciences|California
California Institute of Higher Learning|Ether space
California Miramar University|California – (AKA Pacific Western)
California Pacific University|California
California Pacifica University|California
California Technical University|California (Actually a high school)
California University of Mgmt & Sciences|California
California University FCE|California – (AKA Amorsolo U)
California Valley State University|Ether space
Calgary Providence University|Ether space
Calvary University|Virginia, Oregon, England, Netherlands, et al
Cambridge College of Learning|England
Cambridge International University|South Africa
Cambridge State University|Hawaii, Mississippi
Camford University|Alabama
Campile University|England, Belize
Canada International Education Centre|Canada
Canadian School of Management|Canada
Canbourne University|England
Canterbury University|England
Canterbury U of the Seychelles|Ether Space (may be related to above)
Canyon College|Idaho, California
Capital American University|Liberia
Capital City Religious Institute|Louisiana
Capitol University|Ether space (Do not confuse with Ohio)
Caribbean American University|Liberia
Caribbean Medical University|Curacao
Carlingford University|Racine Correctional Institute, Wisconsin
Carlton University|Ether space; Sound alike for Carlton College
Carnegie Institute of Engineering|Ether space
Carolina Institute of Human Relations|Carolina
Carolina University of Theology|Virginia
Carrington University|Ether Space
Center College of Exec & Prof Dev|India
Center of University Graduate Studies|Ether space
Center State U of Exec & Prof Dev|Liberia (probably related to above)
Central School of Religion|Ether space
Central State University|California, Canada
Central States Consortium Colleges|Ether space
Central States Research Center|Canada
Central University|Ether space
Century University|New Mexico
CETEC University|Santo Domingo (discredited medical school)
Chadwick University|Alabama
Chancery International University|Ether space
Charitable University of Delaware|Ether space
Charis School of Divinity|Florida
Chartwell University|Canada, Washington DC
Chase University|Ether space
CheapDegrees.com|Texas (AKA Ashwood University)
CheapestDegrees.com|(AKA InstantDegree.com)
CheapDegrees.net|Texas (AKA Ashwood University)
Chelsea University|England
Chicago Medical College|Florida
Chillicothe Business College|Ohio
Chirological College of California|Ether space
Christian College|Ether space
Christian Leadership University|New York
CIFAS University|Santo Domingo (discredited medical school)
City Medical Correspondence School|Ether space
City University of L.A.|California
Claremont University|Seychelles (St. Regis spin off)
Clayton College of Natural Health|Alabama
Clayton Theological Institute|California
Clayton University|Hong Kong, Missouri, India, Nigeria
Clermont College|Ether space, no connection U of Cincinnati
Clermont College of Business|Montana, Hawaii (AKA Prescott Col)
Clemson College|Ether space; legitimate = Clemson U
Cleveland University|Ether space; legitimate = Cleveland State U
Clinton University|Michigan, Livonia
ClosedCollegeDiplomas.com|Ether Space (Counterfeiter: $ for credential)
Coast University|Ether space
Colgate College |Ether space; legitimate = Colgate University
College-degree-fast.com|Ether Space (Counterfeiter: $ for credential)
College of Applied Science |England
College of Devine Metaphysics|England
College of Franklin and Marshall|ES; sound alike for Marshall and Franklin
College of Hilton Head|Ether space
College of Homeopathy|Missouri
College of Journalism|West Virginia
College of Lancaster|Pennsylvania
College of Life|Florida
College of Life Sciences|Texas
College of Medical & Health Sciences|St. Lucia
College of Natural Therapeutics|Ether space
College of Naturatrics|Missouri
College of Nonsense|Nevada
College of Spiritual Sciences|Ether space
College of Universal Truth|Illinois
Collegium Technologicum Sussexensis|England (Britannia)
Colony University|Liberia
Colorado University of Naturopathic Med|Spain, British Virgin Islands
Columbia Commonwealth University|Wyoming, Montana, Malawi
Columbia School|Ether Space
Columbus University|Mississippi
Commercial University LTD|iNDIA
Commonwealth College|Scotland
Commonwealth Open University|Virgin Islands
Commonwealth School of Law|Washington
Commonwealth University|California
Communion of Saints Seminary|Oregon
Concordia|See Concordia University/College
Concordia Ivy College|Hawaii, Taiwan
Concordia University (AKA College)|Virgin Islands, Dominica, Liberia, et al
Concordia University|Indonesia, Spain, Virgin Islands, Liberia
Continental University|Liberia, Philippines
Continuing Career Institute|Texas
Cook’s Institute of Electronics Engineering|Mississippi
CoolDegrees.com|Ether Space
Corllins University|Ether Space
Cornerstone University|Louisiana - Sound alike for Michigan school
Cosmopolitan University|Last known locations – Missouri, Montana
Cranston University|Nevada, Singapore
Creative University of Southeast London|England
CredibleDegrees.com|Texas (AKA Ashwood University)
Crescent City Christian College|Louisiana
Cromwell College of IT & Mgmt|England
Cromwell University|Ether space
Crossworld Institute of Professional Studies|Kenya, (AKA Bircham International)
Crown Church College & University|Ether space
Crown College|Washington (Last accredited 2007)
Crown College of the Bible|Tennessee
Culture University|Hawaii
Dallas State College|Texas
Darley University|Delaware
Darthmouth College|Ether space; Dartmouth sound alike
Dartmouth University|Ether space
Darton University|Ether space
D.D.B. Sanskrit University|India
Degree.Com|Texas, Florida, Mexico
DegreePros.Homestead.com|Ether Space (Counterfeiter: $ for credential)
Degrees-R-Us.com|Ether Space (Counterfeiter: $ for credential)
Del Sur Christian College|Texas – (AKA National Christian U)
Delaware Law School|Ether space
Denmark College of Mgmt & IT|Denmark
Denver State University|Ether space
Devon University|Ether space
Devonshire University|Ether space
Diamond Head University|Hawaii – (AKA IOND University)
Diploma.com|Ether Space (Counterfeiter: $ for credential)
DiplomaCompany.com|Ether Space (Counterfeiter: $ for credential)
DiplomaDr.com|Ether Space (Counterfeiter: $ for credential)
DiplomaFakes.com|Ether Space (Counterfeiter: $ for credential)
Diploma Makers.com|Ether Space (Counterfeiter: $ for credential)
DiplomaMasters.com|Ether Space (Counterfeiter: $ for credential)
DiplomaOne.com|Ether Space (Ranks the counterfeiters)
DiplomaOnLine.com|Ether Space (Counterfeiter: $ for credential)
DiplomaPrintingServices.com|Florida (Counterfeiter: $ for credential)
DiplomaProfessionals.com|Ether Space (Counterfeiter – site is for sale)
DiplomasForLess.com|Ether Space (Counterfeiter: $ for credential)
DiplomaService.com|Ether Space (Counterfeiter: $ for credential)
DiplomaServices.com|Ether Space (Counterfeiter: $ for credential)
DiplomaStore.com|Ether Space (Counterfeiter: $ for credential)
DiplomaXpress.com|Venezuela (Counterfeiter: $ for credential)
DiplomasAndMore.com|Ether Space (Counterfeiter: $ for credential)
DiplomasAndTranscripts.com|Ether Space (Counterfeiter: $ for credential)
DiplomasForLess.com|Ether Space (Counterfeiter: $ for credential)
DiplomasUnlimited.com|Hong Kong (Counterfeiter: $ for credential)
Diplomatic University|Ether space (AKA Diplomatic State U)
DiUlus Institute and University|Italy, New Mexico
Dixon-Bird Medical University|St. Kitts
Donsbach University|California
Dorcas University|Hawaii
Dorchester University|Ether space
Drake College|Ether space; sound alike college
The Dream Institute|Ether Space
Dublin Metropolitan University|Ireland
Dunham University|Ether space/University Degree Program
Earlscroft University|England, Seychelles
Earlstown University|New York (Counterfeiter: $ for credential)
East Point University|Ether space
Eastern Caribbean University|Texas, St. Kitts
Eastern Missouri Business College|Missouri
Eastern State University|Ether space
Eastern University|New Mexico
East Point University|Ether Space
EasyDiploma.com|Ether Space (Counterfeiter: $ for credential)
Ecclesiastical University of Sheffield|England
Ecole Superieure Internationale|Belgium (St. Regis Group spinoff)
Ecole Superieur Robert De Sorbon|France, Florida
Eden University|Hawaii – AKA University of Honolulu
Edenvale University|Texas, England, New York
Edison University|Ether space
Ellington University|Ether space
Elysion College|California
Emerson University|California; legitimate = Emerson College
Episcopal University of London|England
Esoteric Theological Seminary|Texas – AKA University of Esoterica
Euclid University|Belgium, Pakistan, Chad, Central Africa
Eula Wesley University|Louisiana
European American University|Dominica (also bogus evaluator)
European Carolus Magnus University|Belgium
European College of Medicine|England (div of St Luke College of Med)
European College of Science and Man|Ether space
European Continental University|England, Delaware
European Graduate School|New York, Switzerland
European Open University|Ether space
European University of Ireland|Ireland
Eurotechnical Research University|Hawaii
Evendine College|England
Evergreen University|Virginia
Excelsior University|Ether space; legitimate = Excelsior College
Expressive Psychology Association|Ether space
Fairfax University|England, Louisiana, Montana, S. Dakota
Fairmont International University|Netherlands – (AKA Preston University)
Faraday College|Ether space
Farington University|Ether space
FakeDegrees.com|Ether Space (Counterfeiter: $ for credential)
Fast-Degrees-Online.com|Ether Space (AKA Buxton University)
Fake DiplomaSale.com|Ether Space (Counterfeiter: $ for credential)
FastDiploma.com|Ether Space (Counterfeiter: $ for credential)
FastDiplomas.Wordpress.com|Ether Space (Counterfeiter: $ for credential)
Felton University|Ether space
Felix Adler Memorial University|North Carolina
Firelake University|Finland
Florida Atlantic Southeastern University|Ether space; legitimate = Florida Atlantic U
Florida State Christian College|Florida
Forest Park University|Illinois
Fort Young University|Liberia
Foundation for Economic Education|New York
Foundation University|Netherlands
Four States Cooperative University|Texas
Frederick Taylor University|California, Moraga
Friends International Christian University|Hawaii, California
Full Gospel Christian College|Michigan
Garfield Technical College|Ether space
GenuineDegrees.com|Ether Space (Counterfeiter: $ for credential)
Geo-Metaphysical Institute|New York
George Washington State College|Ether space
George Washington University|California; legitimate = GWU in D.C.
Georgia Christian University|Georgia
Georgia South Technical Institute|Ether space
German-American Dental College|Illinois
Generale University|Ether space (AKA Generale Polytechnic)
Gestalt Institute of New Orleans|Louisiana
Glamshier University|Wyoming
Glencullen University|England, may still be operating
Glendale University|Ether space
Glenndale University|England (AKA Oaklands University)
Global Church Theological Seminary|Ether space (AKA Global Church U)
Global Church University|Ether space
Global Open University|Uganda, Delaware, Netherlands, India, et al
Global University School of Nursing|Jamaica
Global Virtual University|Ether space, legitimate = Global U
Goa University|Ether space
Gold Coast University|Hawaii
Golden Pacific University|Hawaii, California
Golden State University|Hawaii – AKA Honolulu Arts & Sciences
Gordon Arlen College|Ether space
Gordon University|Illinois, Florida
Graduate College|Ether space (AKA Graduate University)
GraduateNow.com|Ether Space (Counterfeiter: $ for credential)
Grandview University|Missouri
Grandview International University|Missouri (probably associated with above)
Great Lakes University|Michigan; legitimate = Great Lakes College
Greater Manchester University LTD|England, Virgin Islands (AKA GM U)
Greenleaf University|Missouri
Gulf Southern University|Louisiana
Halifax University|Wyoming
Hamilton State University|Arizona
Hamilton University|Wyoming, (AKA American Stat U)
Hamline State University|Ether space; legitimate = Hamline U
Hampton Bay University|Liberia – AKA St. Regis University
Hampton College|Nevada - Sound alike for Hampton U
Hancock University|Tennessee
Harley University|Ether space
Harmony College of Applied Science|California
Hartford Technical Institute|Ether space
Hartford University|Vanuatu– South Pacific
Hartland University|Liberia
Hartley University|England
Hawaii College of Pharmacy|Hawaii
Hawaii IOND University|Hawaii – AKA IOND University
Hawthorn University|California, New York, Florida
Hawthorne University|Utah
Heed University|Wisconsin, Florida, Caribbean
Hegel International University|California, Hawaii, Japan
Heritage University|Florida, UK - legitimate colleges exist
Heritage International University|Possible spin off for above school
His Majesty’s U of Polytechnics|California
Hill University|Ether Space
Holos University|Missouri, South Dakota
Hollywood College|California
Hollywood Southern University|Ether space
Honolulu University|Hawaii – AKA University of Honolulu
Honolulu University of Arts & Sciences|Hawaii – AKA Golden State University
Honolulu USA|Hawaii – AKA University of Honolulu USA
Honolulu USA|Thailand, Pakistan (same as above)
Honorprize.com|AKA Belford University
Horizons University|France, Virginia
Hua Nan College of Industry & Com|China
Humberman University College|Ether space
Huntington Pacific University|Ether space
Hyles-Anderson College|Indiana (faith based)
Idaho College of Commerce|Ether space
Illawarra College|New Hampshire, Virginia, Australia
Illinois College of Physicians & Surgeons|Ether space
Illinois Theological Seminary|Illinois
Independence University|Missouri
Indian Institute of Alternative Med|India
Indian Institute of Science and Engineering|India
INeedADiploma.com|Ether Space (Counterfeiter: $ for credential)
Information University of America|Hawaii
InstantDegrees.com|Ether Space (Counterfeiter: $ for credential)
Institute for Creative Process|Ether space
Institute for Human Dynamics|Ether space
Institute of Excellence|Florida
Institute for the Mgmt of Info Systems|England
Institute for Science in Mind|Ether space
Institute of Global Education|Oregon
Institute of Executive & Professional Dev|Liberia
Institute of Global Education|Oregon
Institute of New Media & Technology|Ether space
Instituto Biblico Ebenezer|Michigan
InTech University|Liberia
InterAmerican University|New York, California
Interfaith Seminary|New York
Intermountain Institute of Natural Health|Idaho
International Academy of Ed University|New York, Japan
International Academy of Planetary Plan|Ether space (AKA Planetary Learning)
International American University|California, Nepal
International Bible College|California (AKA University)
International Career Academy|Ether space
Inter College of Associates in Medicine|Texas
International Earth Environment U|Japan, Delaware
International East-West University|Hawaii
International Further Studies Institute|Ether space
International Graduate Center|Vermont, St. Croix, US Virgin Islands
International Institute for Specialized Ed|Tennessee, England
International MBS|Liberia
International Medical School of America|Texas
International Mid Pac College|Hawaii (AKA Mid Pacific College)
International Open University|Louisiana
International Org for Nontraditional Ed|Hawaii, Japan (AKA IOND University)
International Protestant Birkbest College|England
International Seminary|Florida
International TESOL College|Texas, Mexico
International Theological University|California
International Universities Consortium|Missouri (AKA International University)
International University|Missouri (AKA International U Consortium)
International University|Vienna, Austria
International University for Grad Studies|St. Kitts
International University of Prof Studies|Hawaii
International U of Fundamental Studies|Ether Space
International University of Nursing|St.Kitts
International University of Prof Studies|Hawaii
Inter-State College|Ether space
Inter University of Ministry and Ed|Missouri
IOND University|Hawaii, Japan, Philippines
Irish International University|Malaysia, Cambodia, Kenya, Ireland, Et Al
Irish University Business School|Ireland
Isles International University|St. Kitts
ITECOPAM|Haiti
Ivory Carlson University|Minnesota, India
Jackson State University|California, Tennessee, Nevada
James Cook Medical School|Texas, Cook Islands (appears closed)
James Monroe University|Liberia, Washington, Idaho, Arizona
Jenzabar University|Ether space
JLF University|Florida
Johann Keppler School of Medicine|Ether space
John Hancock University|Ether space
John Quincy Adams College|Oregon
John Thomas College/University|Missouri
Johnson Daves University|Liberia (AKA Johnson Davids University)
Jose Bernardo Gutierrez de Lara Med|Texas (Medical School)
Kalinga University|India
Kardan Institute of Higher Education|Afghanistan (AKA Preston University)
Kelong Guangzhou Inter Eco College|China
Kelvin Business School|Scotland
Kennedy-Western University|Wyoming (Warren National since 2006)
Kent College|Louisiana
Kentucky Christian University|Ashland, Kentucky; credited is in Grayson
Keystone University|Florida
Kincaid Academy of Arts|Ether space
Kingdom College of Natural Health|Louisiana, Guam, Wyoming, Russia
Kingsfield University|England
Kingsley University|Ether space
Knightsbridge University|Denmark
Knoxville College|Tenn. - degrees granted prior 12/96 credited
LA International University|Louisiana
LaCrosse University|Closed in Mississippi, now in Louisiana
Lafayette University|Ether space/University Degree Program
Lajolla University|Ether space
Lamberhurst University|England
Lambert University|Hawaii (AKA Newport Asia Pacific U)
Lamp Beacon University|Ether space
Landegg International University|Switzerland
Landsfield University|Seychelles
Langley University|Ether space
Laureate University|England, Canada, somewhere in ether space
Laurence University|Hawaii
Lawford State University|Maryland
LBT College|England (AKA Irish International U)
Leal University|Missouri
Lee Community College|Singapore
Leibniz|New Mexico, Italy
Leiland College of Arts & Sciences|Hawaii
Leland Stanford University|Louisiana
Leugenia University|South Carolina
Lexington University|Nevada
Life-experience-college-degrees.com|Ether Space (Counterfeiter: $ for credential)
LifeExperienceDegreesOnline.com|(AKA Almeda University)
Life Science College|California, Oklahoma
Limburg University|Sweden, Greece
Lincoln-Jefferson University|Iowa
Lincoln University|New Mexico, Italy
Lion Investigative Academy|Pennsylvania
Lloyds College|England
Logos Bible College|Texas, Florida (AKA Logos Divinity Sch)
Logos Christian College|Ether space, may be associated with above?
London College of Physiology|England
London College of Technology|England
London College of Theology|England
London Educational College|England
London Institute for Applied Research|England
London School for Social Research|England
London University Colleges|Ether space
Lorenz University|Ether space
Los Angeles State University|Ether space
Los Angeles University|California
Louisiana Capital University|Louisiana
Louisiana Christian University|Louisiana
Loyola State University|Louisiana, Illinois; legitimate = Loyola U
Madison State University|New York
Madison University|Mississippi
Maithili University|India
Management Institute of Canada|Canada
Manitoba University of Arts & Sciences|Canada
Marcus Tullius Cicero University|California
Marlborough University|Hawaii
Marlowe University|Florida, New Jersey
Marmaduke University|California
Martin College|Florida
Marylebone University|Seychelles
McPherson Institute of Technology|Ether space
Medical College of London|England, Montserrat, St. Lucia, et al
Medical University of the Americas|Belize, St. Kitts, Nevis
Mellen University|New York; sound alike college for C Mellon
Meridan University|Ether space
Meta Collegiate Extension|Nevada
Metropolitan Collegiate Institute|England
Metropolitan University of Florida|Ether space
Miami Christian University|Florida (AKA Miami Christian College)
Miami State University|Ether space; sound alike for Miami U
Middle Tennessee University|Ether space; sound alike for Middle T State
Midwest Missouri University|Missouri
Midwestern University|Missouri (legitimate one is in Illinois)
Miller University|Pennsylvania
Milton University|Maryland, New York
Miranda International University|Washington, Italy, Tennessee
Mishigan International College|Pakistan
Miura Marine Institute|Japan (Part of IOND degree mill group)
Mole Ltd. University|Louisiana
Monteagle College|England
Monterrey Institute of Graduate Studies|Texas
Montserrat University|California
More University|California
Morris Brown College|Georgia; accredited prior to 12/2002
Mura Marine Institute|Japan (part of IOND group)
Must University|Ether space
Myers College Online|Ether space (legitimate university is in Ohio)
Nassau State Teachers College|Ether space
Nasson University|Ether space
Nation State University|Ether space
National Christian University|Texas
National College|Kansas, Oklahoma
National College of Arts & Sciences|Ether space
National Consortium Staff College|Missouri
National Graduate University|Ether space
National Stevens University|California
National University of Colorado|Colorado
National University of Dakota|South Dakota
National U of Electro Cplx Homeopathy|India
National University of Hawaii|Hawaii
Nations University|Louisiana
NC-Center.com|Ether Space (Counterfeiter: $ for credential)
ND-Center.com|Ether space (Probably same as above)
Nebraska College of Physical Medicine|Ether space
New America School|Ether Space
New Horizons University|Ether space
New Manhattan University|Ether space (part of larger scam system)
New Tribes Bible Institute|Michigan
New World College|Louisiana
New York City University|Ether space; sound alike for CUNY
New York State College|Ether space
Newbridge University|California?
Newburgh Theological Seminary|Indiana
Newport Asia Pacific University|Hawaii (AKA Lambert University)
Newport University|Hawaii, Lebanon, California
NextDayDiplomas.com|Ether Space (Counterfeiter: $ for credential)
Nightingale University|Panama
Nobel University|South Korea
Nonprofit Management University|Ether space
North American College|Ether space
North American College of the Artsy|Ether space
North American University|Arizona (Assoc with N American College?)
North Lexington University|Massachusetts
North Norway University|Norway, Panama, England
North United University|Ether space
Northern American College|Ether space
Northern New England University|Ether space
Northern Michigan State University|Ether space; sound alike for Northern M U
Northern Utah University|Ether space, (AKA N U Management Inst)
Northern Washington|University|Ether space
Northfield University|Ether space
Northland Open University|Alaska, Canada
Northridge State University|Ether space
Northwest Florida University|Ether space
Northwestern California University|Ether space
Northwestern College of Allied Sciences|Oklahoma
Northwestern Graduate School|Montana
Northwestern International U, Ltd.|Cyprus, Denmark
Norway University|Norway, Panama, England
Norway University|(AKA N. Norway, University of Norway)
Notre Dame de Lafayette University|Minnesota
Notre Dame University|Ether space; sound alike for Notre Dame
Nova College|Canada
NoveltyCertifications.com|Ether Space (Counterfeiter: $ for credential)
NoveltyDegree.com|Ether Space (Counterfeiter: $ for credential)
NoveltyWorksDegrees.com|Indiana (Counterfeiter: $ for credential)
Novus University|Mississippi
Oaklands University|England
Oceania University of Medicine|Samoa, Florida, Pennsylvania, England
Ohio Central College|Ether space
Ohio Christian College|Ether space
Ohio Saint Mathew University|Ohio
Oklahoma A&M University|Ether space
Olive Branch University|Belgium?
Omniversity|Alabama
Online-College-Degree-Fast.com|Ether Space (Counterfeiter: $ for credential)
OnlineCollegeDiplomas.com|Ether Space (Counterfeiter: $ for credential)
Online-MBA-Degrees.com|(AKA Rochville University)
Onlineuniversity.com|(AKA Instant.degrees.com)
Ontario Academy of Science & Tech|Canada (possibly closed)
Open Institute of Law|Russia
Open University|India
Open University of America|Puerto Rico, Maryland
Open University of Lincoln|Nebraska
Orienta University|Ether space
Oriental University|Washington, D.C.
Orion University|Ether space
Oxford International University|England; sound alike for Oxford University
Oxford Trent University|Texas
Pacific Basin U School of Medicine|Texas, New Mexico, Mexico, Micronesia
Pacific Basin University|Same as above institution
Pacific Buddhist University|Hawaii, Japan
Pacific Coast College|California (AKA Pacific Coast U)
Pacific International University|Missouri
Pacific National U & Theological Institute|California
Pacific Western University|Hawaii, China (AKA PacWest International)
Pacific Western University|California
Pacific Yale University|Hawaii, California, South Korea
Panama Canal University|Ether space (part of a larger scam system)
PanAmerican University|Liberia
Paramount University of Technology|Wyoming
Parkwood University|England, may still be operating
Pass Christian University|Ether space
Patriot University|Colorado (AKA Patriot Bible College)
Pebble Hills University|Italy, Australia
Pensacola Christian College|Florida
Personal Therapy Institute|Ether space
PhonyDiploma.com|Ether Space (Counterfeiter: $ for credential)
Port Rhode University|Ether space (part of a larger scam system)
Prescott University|New Zealand; sound alike for Prescott C
Preston University|Alabama, Wyoming, Pakistan, Dubai, et al
Prixo Southern University|Texas, Florida (AKA Trinity Southern U)
Promis University of London|England, Belize (actual spelling)
Pylon University|Hawaii (AKA Pacific Yale University)
Queens University of Brighton|California, Missouri
Queenston University|Utah, Vanuatu, Australia
Raja Arabic University|India
Randford University|District of Columbia, Florida, Virginia
Real-University-Degree.com|Ether Space (Counterfeiter: $ for credential)
RealisticDiploma.com|Ether Space (Counterfeiter: $ for credential)
Redding University|Ether space, possibly in USA
Regency College|Ether space
Regent International University|Australia, Switzerland
Revans University|Colorado, Vanuatu-AKA U of Action Learn
Rhode Island School of Law|Ether space
Rhode Island State University|Ether space
Richardson University|Caribbean, Wyoming (AKA Hamilton U)
RightTrackRef.org|Ether Space (Reviews Fakers)
Robert Kennedy University|Switzerland (AKA Robert Kennedy Col)
Robert de Sorbon|Maine, Florida, France, Switzerland, et al
Robertstown University|Liberia, Idaho, Arizona, Washington
Rochelle University|Ether space
Rochfort College|Ether space
Rochville University|Ether space (AKA BuyADegree.com)
Rockford Community College|Ether space
Rocklands University|Ether space – perhaps England or USA
Romano Byzantine|Minnesota, Virginia
Rosebud University|Ether space
Royal Canadian Institute of Technology|British Columbia
Royal College of Science|Ether space
Royal Open University|Ether space
Rushmore University|Georgia, Cayman Islands, SD, Wy, et al
